,focal_pid,comparative_pid,focal_score,comparative_score,relation
77,23555008,22732247,8,9,≈
78,17419879,12730296,4,7,<
79,20025515,11108404,8,1,>
80,23284976,25642946,5,5,≈
81,22329926,20233303,6,7,≈
82,12163609,7753828,8,10,<
83,24010667,28983809,3,1,>
84,19019952,7571416,6,5,≈
85,31483006,26954561,4,10,<
86,12904362,17322774,8,1,>
87,16272498,15750081,8,8,≈
88,15184424,16757617,8,7,≈
89,11129636,9256277,1,10,<
90,16150476,9765420,3,6,<
91,25861837,28435452,5,10,<
92,15975146,26852118,9,8,≈
93,16157672,17103056,7,4,>
94,16223768,10700230,10,10,≈
95,14660767,21219609,8,7,≈
96,11409820,30937888,7,6,≈
97,28511673,35962197,10,1,>
98,32533152,36778193,10,1,>
99,12481078,18653694,9,8,≈
100,28824919,23846601,3,9,<
101,12718444,8845732,3,5,<
102,27100670,22949125,9,10,≈
103,23356742,26792742,9,8,≈
104,15882659,10532948,2,10,<
105,23995774,17622222,2,10,<
106,29730627,36808783,9,9,≈
107,17328912,15878993,8,9,≈
108,21859857,19273555,8,7,≈
109,19633087,27162328,2,9,<
110,19034456,16507117,4,7,<
111,10982856,9620804,4,10,<
112,30064406,35669902,10,1,>
113,28500727,32015101,10,7,>
114,11402198,29948367,10,6,>
115,26034611,28660317,3,4,≈
116,32531207,34115985,10,3,>
117,11158290,15169888,7,7,≈
118,33674599,25079436,10,7,>
119,12805627,25657118,9,8,≈
120,26372907,20701600,4,10,<
121,15523559,27016207,10,10,≈
122,16966547,23036586,10,8,>
123,29641592,27572329,8,7,≈
124,23054889,15277663,3,9,<
125,24766813,31147544,10,10,≈
126,19810800,19765688,3,10,<
127,23817629,15591435,2,10,<
128,28508281,35966381,10,1,>
129,23281739,22208850,7,10,<
130,30246930,31737602,9,8,≈
131,14736624,21360027,5,4,≈
132,36237600,33935744,8,10,<
133,32563268,27090971,6,5,≈
134,12709864,22898086,1,7,<
135,11294737,16060714,10,8,>
136,17325225,19258277,8,7,≈
137,15042509,25926048,9,3,>
138,15798194,33053322,4,10,<
139,20836869,16609730,8,10,<
140,26464633,18768788,3,10,<
141,24337351,17048736,1,9,<
142,16759363,16338659,2,10,<
143,21152000,32820079,9,10,≈
144,30775206,34708550,10,4,>
145,12764628,36599763,4,10,<
146,18174331,18788736,8,9,≈
147,30058095,35603962,10,3,>
148,19843062,32687788,9,2,>
149,16940089,14576122,6,7,≈
150,12654726,18081036,10,4,>
151,23298514,31867681,10,9,≈
152,29093303,36404828,10,1,>
153,19415379,14962965,3,10,<
154,15742724,9178693,1,8,<
155,14657408,22301963,8,3,>
156,31040838,31737268,10,10,≈
157,20219410,17427740,9,8,≈
158,30417732,30063076,10,9,≈
159,12707739,15014976,1,8,<
160,27062580,27062580,7,7,≈
161,11807411,3567258,1,9,<
162,22348000,25249293,9,6,>
163,28943706,20529726,4,10,<
164,28858475,26950168,10,10,≈
165,19502596,12475724,5,4,≈
166,17575053,19004946,10,8,>
167,17110476,21273691,10,2,>
168,19623252,27508302,6,6,≈
169,20570363,34427248,10,4,>
170,11090624,9658203,10,8,>
171,19020991,16808908,2,5,<
172,27779094,34750500,10,10,≈
173,17400735,18203836,7,6,≈
174,12551971,15564468,6,6,≈
175,18653534,1328167,9,1,>
176,24748279,30321600,8,9,≈
177,21859333,25182634,3,7,<
178,19458965,16896655,2,2,≈
179,32631832,37260143,10,8,>
180,31834528,32631363,4,9,<
181,18333982,21122877,10,6,>
182,16686809,38115292,10,2,>
183,16533056,11287396,6,9,<
184,35397103,26004143,9,10,≈
185,22190740,10847680,3,10,<
186,16354683,11283610,7,10,<
187,24674745,34048874,6,4,>
188,21947481,24026407,6,1,>
189,18213451,33854311,7,10,<
190,29027305,26031359,5,8,<
191,21937711,24142104,10,10,≈
192,36158959,32567481,5,9,<
193,19277873,3766365,2,7,<
194,24713761,18171342,4,7,<
195,23386745,32124989,10,5,>
196,20021547,18757731,2,9,<
197,21926227,11331605,3,10,<
198,17328934,18094177,5,6,≈
199,11488780,3932118,2,10,<
200,17036197,16849421,3,10,<
201,22673326,20889343,2,3,≈
202,24916977,32238332,1,10,<
203,22644129,16297940,6,5,≈
204,14996823,12397186,5,10,<
205,12917332,11163204,7,10,<
206,12149343,24379160,9,6,>
207,17720160,18455876,9,4,>
208,27609459,15207756,1,8,<
209,18097687,17494084,8,5,>
210,19738171,22886562,10,8,>
211,15744033,11687796,8,10,<
212,11980962,10970365,9,9,≈
213,24777293,19340456,9,6,>
214,16124054,35433695,10,10,≈
215,21838877,31620150,10,9,≈
216,15090533,11463382,7,10,<
217,10949055,23844763,8,2,>
218,15935098,21384098,10,6,>
219,23837746,21209954,3,6,<
220,21331120,10540659,1,5,<
221,26798058,32686575,10,7,>
222,23222652,19165317,4,9,<
223,23212899,15916616,9,4,>
224,19475490,14674593,2,5,<
225,14673161,9001233,6,6,≈
226,11312335,21513741,7,2,>
227,26690930,23950727,7,10,<
228,10733971,8049216,7,6,≈
229,25098727,29310596,7,6,≈
230,22563397,18845181,3,3,≈
231,19516958,15935765,2,10,<
232,30581672,26880543,1,10,<
233,24367275,8566701,9,5,>
234,28194033,31116002,10,7,>
235,19387860,33748167,4,8,<
236,32655405,28807394,7,10,<
237,25431415,11381268,3,10,<
238,16378995,9557680,6,7,≈
239,11836400,11134279,5,6,≈
240,15967022,15342560,8,9,≈
241,30405787,23150487,3,5,<
242,30774879,32656184,9,2,>
243,32571323,35883064,10,3,>
244,21734399,32094344,1,9,<
245,16146847,27489795,1,7,<
246,28388966,32211442,10,2,>
247,23320145,15784598,2,4,<
248,29206564,34864762,10,1,>
249,12030382,9641698,1,9,<
250,16228360,17172323,7,5,>
251,11705958,11115106,7,6,≈
252,11444388,24091783,2,10,<
253,17934837,9824579,2,9,<
254,11739676,12915562,9,9,≈
255,26330360,27121546,9,4,>
256,22916238,24504531,8,6,>
257,29036430,22285558,9,8,≈
258,11316687,7775177,3,3,≈
259,31992779,35095443,9,1,>
260,29020031,32560151,9,8,≈
261,18772376,21383184,9,9,≈
262,30337649,27726334,9,10,≈
263,10655499,15870271,10,8,>
264,25589926,28337968,4,10,<
265,19021721,34494935,8,1,>
266,23020641,24672502,10,7,>
267,12235364,17292921,10,2,>
268,32545410,31599130,10,4,>
269,24801623,20959621,2,10,<
270,22206270,19560423,10,10,≈
271,11767290,18752674,7,1,>
272,34158764,23402447,4,5,≈
273,19704710,17578906,3,10,<
274,15574947,12032340,7,10,<
275,15454691,12379333,2,1,≈
276,20805115,22644721,10,4,>
277,29312409,32849732,10,9,≈
278,17030494,22170924,8,9,≈
279,28701225,12084415,5,6,≈
280,21229244,26911722,10,8,>
281,11005874,7920600,10,8,>
282,26611643,31734287,8,8,≈
283,35002616,25564662,6,10,<
284,22787212,26640539,5,1,>
285,18945962,26414502,10,6,>
286,23315166,24452853,10,9,≈
287,25137027,29031713,5,10,<
288,23928932,36730265,10,10,≈
289,21192926,22327034,8,3,>
290,15537168,8075358,1,4,<
291,10933704,26609935,7,3,>
292,26169179,30909926,10,10,≈
293,19683780,21701683,2,6,<
294,25120730,28152123,1,10,<
295,26875182,28526635,10,5,>
296,19740350,12091909,2,10,<
297,22174671,22929459,9,2,>
298,19127255,20740639,9,1,>
299,11865065,20119506,8,1,>
300,27066310,27066310,6,6,≈
301,33119698,35575437,10,8,>
302,28337781,28337781,3,3,≈
303,23703454,30773587,5,10,<
304,28704727,38002492,10,2,>
305,19570232,9283541,1,10,<
306,19025565,17194795,5,6,≈
307,21713580,18376196,6,9,<
308,17352535,21559293,8,7,≈
309,19776033,24947469,9,10,≈
310,14742513,11432815,8,10,<
311,18845685,25036288,10,9,≈
312,16973579,16306627,9,9,≈
313,31618406,22814384,1,10,<
314,34887808,29693033,10,3,>
315,12669169,24818957,1,5,<
316,24148902,29391070,6,9,<
317,22962332,31095110,6,1,>
318,21188006,12131090,1,10,<
319,23052567,16343652,8,7,≈
320,25540366,17994428,9,4,>
321,20350315,25960775,8,1,>
322,24291603,25891812,3,9,<
323,27698924,33769145,7,1,>
324,20659800,18193839,5,8,<
325,17590233,15743918,8,10,<
326,22389117,25960892,8,1,>
327,18682558,27127658,10,5,>
328,25297629,35260532,10,10,≈
329,19850829,24874741,8,9,≈
330,29502537,35198924,2,10,<
331,20437079,15261140,2,10,<
332,28470415,34406418,8,7,≈
333,25826661,18483486,8,10,<
334,11560891,9539745,6,10,<
335,19079238,19650042,10,3,>
336,11825988,10593351,5,6,≈
337,29160067,31328129,10,6,>
338,33097384,25954817,5,10,<
339,17105646,24520291,10,2,>
340,30017315,23269733,2,7,<
341,14612415,11571268,4,9,<
342,29463760,33881232,10,1,>
343,26909882,31449880,10,5,>
344,19123985,15765234,3,9,<
345,11344524,9834256,2,10,<
346,26343192,30007825,10,7,>
347,16641261,19073742,7,7,≈
348,34422903,27377421,8,10,<
349,18641153,20061451,8,8,≈
350,19421325,18509506,10,10,≈
351,18953659,16375869,3,4,≈
352,16874523,11932746,4,10,<
353,22331389,23483520,7,3,>
354,25495468,23613718,5,6,≈
355,22933905,22933967,4,3,≈
356,16142571,7535369,1,9,<
357,30320110,29186532,7,7,≈
358,34066023,23205078,10,2,>
359,26729389,29550940,9,6,>
360,18344325,30804385,10,10,≈
361,26573912,36820655,10,2,>
362,19772458,27427961,6,9,<
363,15247180,6332369,10,2,>
364,33713248,34638660,10,10,≈
365,32420091,23884893,3,10,<
366,15480643,11400897,4,8,<
367,30634664,31754375,7,1,>
368,15466434,11404327,6,7,≈
369,35017627,35267622,10,9,≈
370,12379521,19346220,8,7,≈
371,12594195,16545132,10,8,>
372,15895824,10812217,3,8,<
373,26675711,12188941,1,4,<
374,21542933,8326870,4,3,≈
375,14574155,32183385,3,10,<
376,23678920,28879069,8,2,>
377,15625732,30143688,3,4,≈
378,25429326,32685563,2,10,<
379,32570132,30555912,6,10,<
380,32393887,34709403,10,7,>
381,11777152,8222097,1,10,<
382,23611579,16651305,8,10,<
383,12183259,15901694,7,3,>
384,23648144,23648144,7,7,≈
385,16801541,18326817,10,10,≈
386,17215127,22185585,7,3,>
387,21468639,32010310,10,7,>
388,11312355,9843396,9,8,≈
389,22189657,11378312,5,6,≈
390,23227402,1730431,1,8,<
391,31956380,28772291,3,10,<
392,19449110,15590001,2,7,<
393,18484798,30109193,9,1,>
394,15271936,25483637,8,8,≈
395,15022031,26244716,2,9,<
396,24516121,19074005,10,7,>
397,11722898,35223354,10,2,>
398,12678619,10798679,2,9,<
399,19553600,31105842,6,1,>
400,11463636,6959149,4,10,<
401,29979962,33426767,10,1,>
402,12496071,10588906,3,8,<
403,12450827,838692,7,1,>
404,26634119,17661962,8,9,≈
405,25172177,26600265,5,1,>
406,18950748,19387615,9,6,>
407,24340122,29879104,9,8,≈
408,27168779,30326865,2,8,<
409,28899932,31998861,8,1,>
410,21860036,35280154,10,7,>
411,10623754,19641001,8,7,≈
412,28986636,37025477,10,5,>
413,11413324,9343347,8,10,<
414,34327025,33076397,1,10,<
415,28208188,34587925,10,5,>
416,28092683,32968074,10,10,≈
417,20065163,20564186,10,3,>
418,38162338,33383111,2,10,<
419,29152579,25268848,8,10,<
420,15178759,8806606,8,2,>
421,17118068,27334641,4,2,>
422,12560492,11809892,9,10,≈
423,27818809,19208979,1,8,<
424,18552233,23424285,9,9,≈
425,25421055,15060591,8,2,>
426,30267649,16022602,4,10,<
427,24280637,23507612,10,7,>
428,20124029,32560695,8,10,<
429,22344612,31781031,10,2,>
430,29421267,20044896,2,5,<
431,16819647,1374953,1,10,<
432,14500909,19592096,9,3,>
433,20680274,12616066,3,7,<
434,23807739,34296307,8,9,≈
435,16103185,17532020,8,5,>
436,17283043,15592449,7,10,<
437,22198556,33262364,7,9,<
438,19426441,16185352,8,3,>
439,24056404,28012356,10,2,>
440,27066913,35418826,10,1,>
441,12490706,2497941,10,1,>
442,13130076,12080100,10,9,≈
443,22160169,29033987,9,1,>
444,27486225,29218329,9,8,≈
445,17077864,34361094,10,8,>
446,18337389,12904408,7,8,≈
447,15507687,35769908,8,9,≈
448,25714049,30367041,10,10,≈
449,31636317,33384609,8,7,≈
450,18094979,24884811,1,8,<
451,16804113,24962343,10,3,>
452,14526106,11141169,8,8,≈
453,20133845,19717454,10,10,≈
454,20144333,18024852,1,10,<
455,21057660,15355492,9,8,≈
456,27003391,33574785,7,6,≈
457,34141812,12429538,1,10,<
458,11179292,10816481,6,7,≈
459,21779961,10909952,7,9,<
460,16740927,29580205,2,8,<
461,11884592,7697716,5,10,<
462,37518067,3954351,10,8,>
463,21691855,11780117,1,10,<
464,28602835,32363166,5,9,<
465,11778349,12021416,2,9,<
466,11752450,7826629,9,10,≈
467,15856172,26495241,10,2,>
468,21522167,17850551,4,8,<
469,22300735,19683024,10,3,>
470,24062073,33498245,2,10,<
471,22445509,24799426,9,5,>
472,30783157,22160648,9,6,>
473,24065978,28313915,9,5,>
474,27900070,22376048,3,10,<
475,18351309,15113093,1,10,<
476,27536732,35464671,10,5,>
477,20724646,30778899,10,5,>
478,25945344,29312210,5,9,<
479,15340372,25012241,10,7,>
480,25847297,20869948,10,3,>
481,35860746,27032555,10,7,>
482,21677201,16780622,5,10,<
483,23825757,11399685,1,9,<
484,11000241,8566753,8,10,<
485,18981426,36545335,10,5,>
486,19784636,27363441,6,10,<
487,25777331,37789891,9,2,>
488,21566799,21212565,9,1,>
489,12226794,23241443,9,4,>
490,17785475,17030033,6,7,≈
491,18549456,7642298,6,9,<
492,23644516,25483644,10,7,>
493,11918697,23834439,4,5,≈
494,23623693,21119657,2,8,<
495,23858439,31940321,10,10,≈
496,10952573,11796357,9,8,≈
497,21937713,26947065,10,9,≈
498,11069888,16219781,10,7,>
499,17109763,19643014,7,7,≈
500,34454088,39076229,10,5,>
501,10986248,10103288,4,5,≈
502,32848904,29549885,8,10,<
503,20023644,27547612,10,1,>
504,15980473,15608194,8,8,≈
505,10671474,8764398,2,8,<
506,14656976,9776751,9,10,≈
507,19367379,18176686,4,3,≈
508,21118239,27570700,1,8,<
509,20162547,18711734,7,7,≈
510,29967624,15218103,7,8,≈
511,31278267,35510998,10,1,>
512,26291161,37543682,10,10,≈
513,18410682,25739548,8,4,>
514,26888364,31236791,5,6,≈
515,12815074,15226437,10,6,>
516,12648251,20068465,8,8,≈
517,20865003,33622726,10,10,≈
518,19243839,36964848,10,3,>
519,11932232,15597206,10,2,>
520,29358427,25990247,9,9,≈
521,22491688,27308944,7,8,≈
522,11554475,31321553,10,5,>
523,30758540,37361149,10,3,>
524,16339307,19179436,9,6,>
525,12383200,10092088,4,3,≈
526,27630649,25884205,7,6,≈
527,18519559,33536465,9,10,≈
528,15994887,20300542,6,2,>
529,26955948,29363540,9,10,≈
530,19561609,31548691,10,10,≈
531,22638907,20079596,1,10,<
532,24553708,19061708,1,10,<
533,19149868,26183383,6,7,≈
534,16947027,9360822,1,3,<
535,26106606,30870490,4,8,<
536,22577380,24726366,4,10,<
537,21243343,36051996,9,1,>
538,18998182,16843034,2,10,<
539,26240587,32014016,3,10,<
540,28081253,29976199,10,5,>
541,14996807,9190804,4,5,≈
542,24567029,31684878,9,9,≈
543,25279949,11805054,8,7,≈
544,36815154,23406216,3,9,<
545,11052318,9394723,3,10,<
546,12010077,2228996,8,1,>
547,19804850,18493316,9,8,≈
548,25323444,26976140,10,5,>
549,22172966,10504011,6,7,≈
550,16934307,10074181,3,9,<
551,18578875,26335312,7,5,>
552,30818045,37332874,10,8,>
553,11909960,11719808,6,10,<
554,13130076,20513395,10,6,>
555,11850399,21619594,9,6,>
556,27756216,14613682,1,9,<
557,21302955,30624911,4,10,<
558,15790713,12910253,2,8,<
559,11909971,10692576,3,4,≈
560,24588001,21199859,1,8,<
561,25361973,26380658,10,8,>
562,29543885,17617913,6,7,≈
563,15475578,1660007,8,8,≈
564,14671986,11922852,7,8,≈
565,16885459,16485467,4,9,<
566,12496326,28834662,5,4,≈
567,24904716,14517705,3,3,≈
568,36132322,28317370,2,10,<
569,26246177,28597100,3,3,≈
570,25149441,23142869,8,10,<
571,17897725,7821907,6,8,<
572,22988505,37744899,10,4,>
573,11519736,1865908,3,10,<
574,29855608,33235536,8,1,>
575,21789590,21603966,4,5,≈
576,12761156,34074747,4,10,<
577,12704152,12384590,9,10,≈
578,17600133,31011320,10,1,>
579,22567227,33958669,2,10,<
580,16024797,23007156,6,5,≈
581,33451137,27878786,10,7,>
582,11898125,12592608,10,10,≈
583,11156607,20437192,9,2,>
584,29611349,20511613,6,10,<
585,16046340,27519820,10,2,>
586,32969109,15144076,8,9,≈
587,30173559,25247995,1,10,<
588,26140094,34305614,1,10,<
589,25418097,15096603,2,10,<
590,22939619,24694346,10,6,>
591,20422218,14535454,3,2,≈
592,36713431,22897321,10,2,>
593,19136628,24939713,10,8,>
594,12589061,9584165,7,8,≈
595,28024158,37062880,10,8,>
596,29431615,24186207,8,10,<
597,24132772,18076372,1,3,<
598,17764013,26929656,6,4,>
599,11257019,16934047,8,6,>
600,23449792,37360201,9,1,>
601,21152000,19805023,8,9,≈
602,16672522,16372010,4,10,<
603,27387756,26842544,5,6,≈
604,26594141,39483200,10,1,>
605,20405118,15259264,5,4,≈
606,21150259,19766570,4,10,<
607,11914136,10716476,1,10,<
608,20105298,22323917,4,2,>
609,19000724,16371782,5,6,≈
610,29719516,25584200,4,10,<
611,10722630,21221970,9,3,>
612,16775320,18076768,8,7,≈
613,23907271,26002056,10,8,>
614,35323685,38248812,8,7,≈
615,11376153,30110897,10,9,≈
616,17541628,25806039,8,8,≈
617,27529784,17123504,6,5,≈
618,14671082,10208925,7,6,≈
619,11581383,1648234,4,9,<
620,24705801,18172671,1,3,<
621,10756059,9806631,6,10,<
622,20368430,23264111,10,3,>
623,30579365,32962580,10,6,>
624,28348401,29073575,9,7,>
625,29942509,33281976,10,6,>
626,24874575,21655091,10,9,≈
627,25572317,27441891,9,8,≈
628,22670715,20676082,5,10,<
629,33372732,33372732,6,6,≈
630,19822162,18211726,3,8,<
631,12438354,11292728,5,5,≈
632,25788296,23268370,2,10,<
633,15385491,18696100,6,5,≈
634,11046133,8524252,7,8,≈
635,19561130,31379771,3,10,<
636,26920394,11504557,10,2,>
637,25539473,32226366,5,6,≈
638,15479793,8385343,8,9,≈
639,29129538,22553984,1,8,<
640,14766818,16956392,7,2,>
641,19503612,21615350,6,1,>
642,11070017,9326593,4,10,<
643,18060475,14637186,5,9,<
644,27555819,27258004,5,8,<
645,34035406,31032544,10,8,>
646,11248103,11059795,10,5,>
647,15126398,10779561,5,10,<
648,20808441,19383149,9,8,≈
649,28925356,30202880,9,10,≈
650,11727201,10508524,9,10,≈
651,20848033,16805557,6,7,≈
652,26423750,33033017,9,8,≈
653,22220149,14976332,1,10,<
654,19053288,21572444,2,10,<
655,15618989,24464446,8,6,>
656,24122040,29170643,10,5,>
657,23741383,24978812,6,6,≈
658,30718436,35034179,10,1,>
659,16082583,34585099,9,1,>
660,33450834,32668234,8,7,≈
661,24140781,2909054,1,10,<
662,11884271,22686466,9,7,>
663,11292707,8100999,6,10,<
664,11244120,15618430,9,8,≈
665,22737150,30886834,7,10,<
666,32282020,11792841,10,10,≈
667,16299317,19836896,7,6,≈
668,28024158,31585163,10,5,>
669,15104371,8224658,1,10,<
670,32843083,34918494,10,2,>
671,20454662,18505573,8,2,>
672,34425963,37085218,10,4,>
673,34971618,20385839,8,10,<
674,18337583,31662457,10,10,≈
675,31412578,33296124,8,3,>
676,17566020,28702193,10,9,≈
677,12117930,24926878,6,6,≈
678,29748471,34395747,9,2,>
679,26198339,37094821,10,2,>
680,22661944,9189997,8,9,≈
681,24505286,22887175,9,10,≈
682,27065974,21083941,9,4,>
683,26941987,20336386,4,10,<
684,25538659,24785494,3,5,<
685,26473120,8675081,3,10,<
686,10811879,18789830,10,8,>
687,11939267,7807993,1,5,<
688,20053861,32510304,8,1,>
689,30026992,22937364,1,1,≈
690,24957030,32471427,7,9,<
691,29921239,32823929,8,9,≈
692,24268579,29351274,10,9,≈
693,24348373,26074761,2,7,<
694,18330668,26774968,5,10,<
695,11392553,9256510,2,10,<
696,16872834,19449839,6,3,>
697,19629175,23601855,10,7,>
698,21748402,27166759,3,9,<
699,24796865,24056996,6,6,≈
700,29654269,32799769,10,1,>
701,15731079,30352938,3,9,<
702,18954438,21533204,7,6,≈
703,29582188,31341481,10,2,>
704,21272004,20464498,8,7,≈
705,22955882,25767461,10,3,>
706,16703409,15028154,6,8,<
707,24015318,30459740,9,5,>
708,10725392,17720919,10,8,>
709,23580325,29085996,10,2,>
710,22797726,27184141,10,5,>
711,15066863,19536543,9,1,>
712,25147611,34590636,7,10,<
713,25847297,32365752,10,8,>
714,20729854,27803192,10,9,≈
715,16507999,24563825,5,2,>
716,10986262,28864445,2,10,<
717,11817327,6817330,1,5,<
718,10783163,16673358,10,9,≈
719,22564954,27790606,10,4,>
720,15034224,12885675,7,6,≈
721,19320834,14500463,5,8,<
722,14612363,25538707,6,7,≈
723,16400328,19941823,10,10,≈
724,19512878,24614945,7,1,>
725,16758265,26407342,2,10,<
726,17988638,22673324,10,4,>
727,15501774,19906179,8,8,≈
728,27244296,36421810,10,7,>
729,16240091,15006671,1,10,<
730,34113330,22807675,7,10,<
731,28472196,27080099,5,6,≈
732,11095895,8928990,1,10,<
733,19220904,22546238,5,4,≈
734,20694873,12499488,7,10,<
735,28611979,9047241,1,10,<
736,12368332,9223502,8,9,≈
737,23397209,9242531,1,10,<
738,30972025,35443706,10,10,≈
739,29594066,29675007,8,8,≈
740,16341798,8948654,1,10,<
741,12724426,10360177,7,10,<
742,15387323,12730864,3,9,<
743,35073377,35694428,10,6,>
744,11429426,9607760,4,10,<
745,25785276,17661009,7,10,<
746,27458541,23810864,1,3,<
747,21835227,28101525,7,6,≈
748,26686913,33638996,7,10,<
749,17098792,20333318,4,2,>
750,16909455,9585595,1,10,<
751,28955599,21833355,10,6,>
752,16487224,16915367,5,1,>
753,24790992,15172744,1,7,<
754,26192288,17002904,1,3,<
755,28241812,16043478,6,6,≈
756,25556912,36158997,10,3,>
757,26394985,24374967,8,7,≈
758,21266330,27821717,10,3,>
759,19520806,35666624,10,10,≈
760,27019453,20956315,2,10,<
761,26607194,12636955,1,9,<
762,11518373,9046305,1,10,<
763,17682657,16249531,8,9,≈
764,23341609,29158478,10,10,≈
765,15965687,29555989,9,9,≈
766,16133660,11511929,3,4,≈
767,15963891,20577037,8,1,>
768,27681923,29434581,9,9,≈
769,15118909,9061981,5,4,≈
770,27579081,11108754,1,9,<
771,18227188,25362963,9,8,≈
772,15596498,20550907,5,4,≈
773,10747135,27588085,9,2,>
774,24464089,24700025,10,5,>
775,10712544,15480888,9,8,≈
776,26762710,23102070,6,2,>
777,18704751,9112780,2,5,<
778,24039846,31966366,9,1,>
779,17003293,19474521,10,2,>
780,26016851,29326544,9,9,≈
781,26955296,36176715,8,10,<
782,11525995,21276147,7,7,≈
783,12212996,9771176,1,7,<
784,25887404,22183858,3,6,<
785,22963550,31773449,9,3,>
786,19372381,15307922,10,3,>
787,14653567,12108773,3,3,≈
788,17589825,26041576,10,4,>
789,11108142,32401481,2,9,<
790,11726689,21727085,9,9,≈
791,27021334,22736096,4,10,<
792,33073023,35163551,10,10,≈
793,30229160,26985636,1,10,<
794,18401023,19668025,10,1,>
795,15883703,19830129,2,1,≈
796,12466548,24899176,10,7,>
797,33530592,22814582,2,10,<
798,17470554,37460667,8,10,<
799,30533387,33673710,3,10,<
800,21270269,29789274,10,2,>
801,24037959,16651524,3,10,<
802,29441371,35951141,10,1,>
803,19498957,35225961,10,1,>
804,30589901,17326675,5,6,≈
805,16080114,20066485,10,9,≈
806,12947412,11078533,9,9,≈
807,29805985,33041710,8,4,>
808,20470020,29672595,4,8,<
809,32468614,34661698,10,2,>
810,21611183,26439479,9,4,>
811,11014825,10581031,5,10,<
812,21455606,34067592,9,5,>
813,14504857,7931504,2,6,<
814,16061563,31311496,9,2,>
815,11156977,21060864,2,9,<
816,28448386,39055121,10,2,>
817,35540586,29142698,2,10,<
818,19635830,17395728,4,8,<
819,12177483,17680295,9,2,>
820,23720609,30344481,8,4,>
821,11784859,12391155,8,7,≈
822,22479178,23818855,9,9,≈
823,25231298,34204859,10,10,≈
824,15546487,16906217,3,7,<
825,25883382,34767154,10,1,>
826,17904409,35598220,10,1,>
827,22505688,20378835,5,10,<
828,24812293,19351897,4,10,<
829,17098869,18499455,10,3,>
830,27567213,27380137,6,9,<
831,17548810,11507225,10,9,≈
832,19825182,33573561,9,8,≈
833,17523704,10714413,2,3,≈
834,19818124,30485365,3,8,<
835,20946641,34977295,10,1,>
836,20925923,17953093,3,9,<
837,11139043,8990118,3,10,<
838,11739713,28415995,7,3,>
839,25642236,35937857,10,10,≈
840,29200867,34386421,5,10,<
841,15576766,24475327,6,1,>
842,32411534,32431752,8,9,≈
843,17318017,9590296,4,10,<
844,22439878,30509169,10,5,>
845,25122801,23333212,8,7,≈
846,17653555,11083416,2,4,<
847,18398470,16503064,9,4,>
848,20187138,18262543,2,9,<
849,20150413,22271178,10,1,>
850,22488075,25484004,9,5,>
851,15105155,9174179,6,6,≈
852,28388275,31259568,10,7,>
853,24357462,21378554,4,10,<
