,focal_pid,pubt,journal,Q,IF,citations
74,19609698,2010,environmental monitoring and assessment,Q3,2.9,7
75,19404759,2010,environmental monitoring and assessment,Q3,2.9,7
76,19353287,2010,environmental monitoring and assessment,Q3,2.9,6
77,19238566,2010,environmental monitoring and assessment,Q3,2.9,2
78,19626448,2010,environmental monitoring and assessment,Q3,2.9,1
79,20072811,2010,environmental monitoring and assessment,Q3,2.9,11
80,19274486,2010,environmental monitoring and assessment,Q3,2.9,2
81,20072810,2010,environmental monitoring and assessment,Q3,2.9,5
82,19415509,2010,environmental monitoring and assessment,Q3,2.9,4
83,19184493,2010,environmental monitoring and assessment,Q3,2.9,4
84,19096911,2010,environmental monitoring and assessment,Q3,2.9,7
85,19757126,2010,environmental monitoring and assessment,Q3,2.9,1
86,19357981,2010,environmental monitoring and assessment,Q3,2.9,1
87,19504057,2010,environmental monitoring and assessment,Q3,2.9,32
88,19466572,2010,environmental monitoring and assessment,Q3,2.9,5
89,19543999,2010,environmental monitoring and assessment,Q3,2.9,11
90,19543994,2010,environmental monitoring and assessment,Q3,2.9,7
91,19475489,2010,environmental monitoring and assessment,Q3,2.9,1
92,20969526,2010,chronobiology international,Q3,2.2,3
93,20370466,2010,chronobiology international,Q3,2.2,23
94,20653452,2010,chronobiology international,Q3,2.2,14
95,20854136,2010,chronobiology international,Q3,2.2,9
96,20969520,2010,chronobiology international,Q3,2.2,6
97,20205558,2010,chronobiology international,Q3,2.2,13
98,20636205,2010,chronobiology international,Q3,2.2,9
99,20795881,2010,chronobiology international,Q3,2.2,8
100,20636208,2010,chronobiology international,Q3,2.2,27
101,20795885,2010,chronobiology international,Q3,2.2,6
102,20636206,2010,chronobiology international,Q3,2.2,2
103,20653448,2010,chronobiology international,Q3,2.2,14
104,20205557,2010,chronobiology international,Q3,2.2,18
105,20560712,2010,chronobiology international,Q3,2.2,3
106,20524794,2010,chronobiology international,Q3,2.2,12
107,20524802,2010,chronobiology international,Q3,2.2,53
108,20370468,2010,chronobiology international,Q3,2.2,15
109,20969517,2010,chronobiology international,Q3,2.2,12
110,20653455,2010,chronobiology international,Q3,2.2,27
111,20205566,2010,chronobiology international,Q3,2.2,13
112,20370467,2010,chronobiology international,Q3,2.2,6
113,20795884,2010,chronobiology international,Q3,2.2,3
114,20205561,2010,chronobiology international,Q3,2.2,6
115,20969525,2010,chronobiology international,Q3,2.2,45
116,20205554,2010,chronobiology international,Q3,2.2,15
117,19790185,2010,microsurgery,Q3,1.5,13
118,19790178,2010,microsurgery,Q3,1.5,1
119,20878731,2010,microsurgery,Q3,1.5,3
120,20842705,2010,microsurgery,Q3,1.5,4
121,20084669,2010,microsurgery,Q3,1.5,5
122,20878729,2010,microsurgery,Q3,1.5,7
123,19774629,2010,microsurgery,Q3,1.5,3
124,20063379,2010,microsurgery,Q3,1.5,14
125,20146382,2010,microsurgery,Q3,1.5,6
126,20238380,2010,microsurgery,Q3,1.5,3
127,19760792,2010,microsurgery,Q3,1.5,0
128,19790175,2010,microsurgery,Q3,1.5,5
129,19790180,2010,microsurgery,Q3,1.5,19
130,19957312,2010,microsurgery,Q3,1.5,6
131,19967761,2010,microsurgery,Q3,1.5,4
132,20842702,2010,microsurgery,Q3,1.5,0
133,19582823,2010,microsurgery,Q3,1.5,13
134,19967762,2010,microsurgery,Q3,1.5,12
135,20853334,2010,microsurgery,Q3,1.5,0
136,20734431,2010,microsurgery,Q3,1.5,1
137,20167710,2010,nursing science quarterly,Q3,1.1,5
138,20558657,2010,nursing science quarterly,Q3,1.1,0
139,20167716,2010,nursing science quarterly,Q3,1.1,3
140,20871003,2010,nursing science quarterly,Q3,1.1,0
141,20167713,2010,nursing science quarterly,Q3,1.1,0
142,20378917,2010,nursing science quarterly,Q3,1.1,0
143,20558651,2010,nursing science quarterly,Q3,1.1,1
144,20558645,2010,nursing science quarterly,Q3,1.1,0
145,20026730,2010,nursing science quarterly,Q3,1.1,1
146,20026723,2010,nursing science quarterly,Q3,1.1,0
147,20167719,2010,nursing science quarterly,Q3,1.1,0
148,20870995,2010,nursing science quarterly,Q3,1.1,2
149,20871001,2010,nursing science quarterly,Q3,1.1,1
150,20558652,2010,nursing science quarterly,Q3,1.1,4
151,20870997,2010,nursing science quarterly,Q3,1.1,0
152,20871008,2010,nursing science quarterly,Q3,1.1,0
153,20871002,2010,nursing science quarterly,Q3,1.1,4
154,20558644,2010,nursing science quarterly,Q3,1.1,1
155,20871006,2010,nursing science quarterly,Q3,1.1,1
156,20220350,2010,current sports medicine reports,Q3,1.7,3
157,20463494,2010,current sports medicine reports,Q3,1.7,3
158,20827097,2010,current sports medicine reports,Q3,1.7,16
159,20827090,2010,current sports medicine reports,Q3,1.7,6
160,20463502,2010,current sports medicine reports,Q3,1.7,50
161,21068568,2010,current sports medicine reports,Q3,1.7,3
162,20463495,2010,current sports medicine reports,Q3,1.7,3
163,21068566,2010,current sports medicine reports,Q3,1.7,7
164,20622539,2010,current sports medicine reports,Q3,1.7,9
165,20220349,2010,current sports medicine reports,Q3,1.7,2
166,20827096,2010,current sports medicine reports,Q3,1.7,7
167,20220354,2010,current sports medicine reports,Q3,1.7,4
168,20827093,2010,current sports medicine reports,Q3,1.7,2
169,21068573,2010,current sports medicine reports,Q3,1.7,1
170,20463496,2010,current sports medicine reports,Q3,1.7,1
171,20463500,2010,current sports medicine reports,Q3,1.7,40
172,20827099,2010,current sports medicine reports,Q3,1.7,26
173,20463498,2010,current sports medicine reports,Q3,1.7,0
174,20827098,2010,current sports medicine reports,Q3,1.7,0
175,20300862,2010,molecular biology reports,Q3,2.6,8
176,19449211,2010,molecular biology reports,Q3,2.6,0
177,19649723,2010,molecular biology reports,Q3,2.6,5
178,19823949,2010,molecular biology reports,Q3,2.6,12
179,19548113,2010,molecular biology reports,Q3,2.6,5
180,19347605,2010,molecular biology reports,Q3,2.6,1
181,20221702,2010,molecular biology reports,Q3,2.6,2
182,19690982,2010,molecular biology reports,Q3,2.6,10
183,19685166,2010,molecular biology reports,Q3,2.6,18
184,19468864,2010,molecular biology reports,Q3,2.6,1
185,19437138,2010,molecular biology reports,Q3,2.6,12
186,19578976,2010,molecular biology reports,Q3,2.6,6
187,19680784,2010,molecular biology reports,Q3,2.6,26
188,19644765,2010,molecular biology reports,Q3,2.6,15
189,19330536,2010,molecular biology reports,Q3,2.6,2
190,20213506,2010,molecular biology reports,Q3,2.6,10
191,20195769,2010,molecular biology reports,Q3,2.6,3
192,19562507,2010,molecular biology reports,Q3,2.6,3
193,19343538,2010,molecular biology reports,Q3,2.6,2
194,19711193,2010,molecular biology reports,Q3,2.6,5
195,19657723,2010,molecular biology reports,Q3,2.6,3
196,19949873,2010,molecular biology reports,Q3,2.6,18
197,20300863,2010,molecular biology reports,Q3,2.6,19
198,19347606,2010,molecular biology reports,Q3,2.6,5
199,20033492,2010,molecular biology reports,Q3,2.6,6
200,20938039,2010,journal of cardiovascular pharmacology and therapeutics,Q3,2.5,16
201,20472815,2010,journal of cardiovascular pharmacology and therapeutics,Q3,2.5,25
202,20472813,2010,journal of cardiovascular pharmacology and therapeutics,Q3,2.5,0
203,20061507,2010,journal of cardiovascular pharmacology and therapeutics,Q3,2.5,1
204,20693159,2010,journal of cardiovascular pharmacology and therapeutics,Q3,2.5,5
205,20100903,2010,journal of cardiovascular pharmacology and therapeutics,Q3,2.5,14
206,19966176,2010,journal of cardiovascular pharmacology and therapeutics,Q3,2.5,3
207,20147603,2010,journal of cardiovascular pharmacology and therapeutics,Q3,2.5,17
208,20562374,2010,journal of cardiovascular pharmacology and therapeutics,Q3,2.5,0
209,20595625,2010,journal of cardiovascular pharmacology and therapeutics,Q3,2.5,3
210,20435990,2010,journal of cardiovascular pharmacology and therapeutics,Q3,2.5,3
211,20100902,2010,journal of cardiovascular pharmacology and therapeutics,Q3,2.5,3
212,20133495,2010,journal of cardiovascular pharmacology and therapeutics,Q3,2.5,6
213,20208032,2010,journal of cardiovascular pharmacology and therapeutics,Q3,2.5,19
214,20435991,2010,journal of cardiovascular pharmacology and therapeutics,Q3,2.5,0
215,20940451,2010,journal of cardiovascular pharmacology and therapeutics,Q3,2.5,3
216,20705902,2010,journal of cardiovascular pharmacology and therapeutics,Q3,2.5,3
217,20053922,2010,journal of cardiovascular pharmacology and therapeutics,Q3,2.5,8
218,20484120,2010,journal of cardiovascular pharmacology and therapeutics,Q3,2.5,1
219,20332533,2010,journal of cardiovascular pharmacology and therapeutics,Q3,2.5,8
220,20472812,2010,journal of cardiovascular pharmacology and therapeutics,Q3,2.5,0
221,20133496,2010,journal of cardiovascular pharmacology and therapeutics,Q3,2.5,14
222,19995939,2010,journal of cardiovascular pharmacology and therapeutics,Q3,2.5,8
223,20200326,2010,journal of cardiovascular pharmacology and therapeutics,Q3,2.5,0
224,20075153,2010,journal of cardiovascular pharmacology and therapeutics,Q3,2.5,9
225,20026243,2010,parasitology international,Q3,1.5,35
226,20601110,2010,parasitology international,Q3,1.5,24
227,20673811,2010,parasitology international,Q3,1.5,2
228,20230906,2010,parasitology international,Q3,1.5,8
229,20035897,2010,parasitology international,Q3,1.5,9
230,19895903,2010,parasitology international,Q3,1.5,23
231,20026242,2010,parasitology international,Q3,1.5,5
232,20304093,2010,parasitology international,Q3,1.5,7
233,20447468,2010,parasitology international,Q3,1.5,2
234,20466070,2010,parasitology international,Q3,1.5,14
235,20670692,2010,parasitology international,Q3,1.5,4
236,20450984,2010,parasitology international,Q3,1.5,3
237,20609420,2010,parasitology international,Q3,1.5,10
238,20176129,2010,parasitology international,Q3,1.5,12
239,20460172,2010,parasitology international,Q3,1.5,15
240,20831899,2010,parasitology international,Q3,1.5,5
241,19874910,2010,parasitology international,Q3,1.5,25
242,19800982,2010,parasitology international,Q3,1.5,13
243,19835980,2010,parasitology international,Q3,1.5,6
244,20153445,2010,parasitology international,Q3,1.5,10
245,20804856,2010,parasitology international,Q3,1.5,5
246,19819347,2010,parasitology international,Q3,1.5,8
247,20096374,2010,parasitology international,Q3,1.5,6
248,20546931,2010,parasitology international,Q3,1.5,4
249,20035898,2010,parasitology international,Q3,1.5,8
250,20380868,2010,experimental hematology,Q3,2.5,2
251,20303384,2010,experimental hematology,Q3,2.5,45
252,19837125,2010,experimental hematology,Q3,2.5,8
253,20550953,2010,experimental hematology,Q3,2.5,11
254,20696208,2010,experimental hematology,Q3,2.5,11
255,20303382,2010,experimental hematology,Q3,2.5,112
256,20869422,2010,experimental hematology,Q3,2.5,4
257,20399246,2010,experimental hematology,Q3,2.5,58
258,20637829,2010,experimental hematology,Q3,2.5,9
259,20600579,2010,experimental hematology,Q3,2.5,0
260,20471447,2010,experimental hematology,Q3,2.5,12
261,20600581,2010,experimental hematology,Q3,2.5,2
262,20488224,2010,experimental hematology,Q3,2.5,23
263,20045443,2010,experimental hematology,Q3,2.5,21
264,20394798,2010,experimental hematology,Q3,2.5,36
265,20854875,2010,experimental hematology,Q3,2.5,12
266,20067819,2010,experimental hematology,Q3,2.5,40
267,20026377,2010,experimental hematology,Q3,2.5,1
268,20138114,2010,experimental hematology,Q3,2.5,82
269,19837126,2010,experimental hematology,Q3,2.5,7
270,20470859,2010,experimental hematology,Q3,2.5,18
271,20170708,2010,experimental hematology,Q3,2.5,9
272,20096329,2010,experimental hematology,Q3,2.5,3
273,20796165,2010,journal of interventional cardiology,Q3,1.6,6
274,20002960,2010,journal of interventional cardiology,Q3,1.6,1
275,20636841,2010,journal of interventional cardiology,Q3,1.6,0
276,20735711,2010,journal of interventional cardiology,Q3,1.6,2
277,20796163,2010,journal of interventional cardiology,Q3,1.6,0
278,20624201,2010,journal of interventional cardiology,Q3,1.6,1
279,20465720,2010,journal of interventional cardiology,Q3,1.6,0
280,20040004,2010,journal of interventional cardiology,Q3,1.6,2
281,20236213,2010,journal of interventional cardiology,Q3,1.6,1
282,20465718,2010,journal of interventional cardiology,Q3,1.6,2
283,20735712,2010,journal of interventional cardiology,Q3,1.6,1
284,20642477,2010,journal of interventional cardiology,Q3,1.6,1
285,20636849,2010,journal of interventional cardiology,Q3,1.6,10
286,20636842,2010,journal of interventional cardiology,Q3,1.6,2
287,20236211,2010,journal of interventional cardiology,Q3,1.6,9
288,20642479,2010,journal of interventional cardiology,Q3,1.6,4
289,20337860,2010,journal of interventional cardiology,Q3,1.6,0
290,20002292,2010,journal of interventional cardiology,Q3,1.6,6
291,20040008,2010,journal of interventional cardiology,Q3,1.6,0
292,20465719,2010,journal of interventional cardiology,Q3,1.6,2
293,20500545,2010,journal of interventional cardiology,Q3,1.6,2
294,20642476,2010,journal of interventional cardiology,Q3,1.6,18
295,20635928,2010,immunotherapy,Q3,2.7,22
296,20874648,2010,immunotherapy,Q3,2.7,0
297,20635933,2010,immunotherapy,Q3,2.7,15
298,20874649,2010,immunotherapy,Q3,2.7,21
299,20874652,2010,immunotherapy,Q3,2.7,3
300,20874654,2010,immunotherapy,Q3,2.7,3
301,21091116,2010,immunotherapy,Q3,2.7,25
302,20636001,2010,immunotherapy,Q3,2.7,9
303,20635902,2010,immunotherapy,Q3,2.7,10
304,21091118,2010,immunotherapy,Q3,2.7,2
305,20635932,2010,immunotherapy,Q3,2.7,6
306,20874644,2010,immunotherapy,Q3,2.7,0
307,20635892,2010,immunotherapy,Q3,2.7,10
308,20143202,2010,zeitschrift fur gerontologie und geriatrie,Q3,1.1,17
309,20033815,2010,zeitschrift fur gerontologie und geriatrie,Q3,1.1,2
310,20012063,2010,zeitschrift fur gerontologie und geriatrie,Q3,1.1,11
311,21103991,2010,zeitschrift fur gerontologie und geriatrie,Q3,1.1,7
312,19760358,2010,zeitschrift fur gerontologie und geriatrie,Q3,1.1,1
313,20571815,2010,zeitschrift fur gerontologie und geriatrie,Q3,1.1,0
314,19806291,2010,zeitschrift fur gerontologie und geriatrie,Q3,1.1,0
315,20814795,2010,zeitschrift fur gerontologie und geriatrie,Q3,1.1,23
316,19806292,2010,zeitschrift fur gerontologie und geriatrie,Q3,1.1,1
317,21125373,2010,zeitschrift fur gerontologie und geriatrie,Q3,1.1,5
318,20204383,2010,zeitschrift fur gerontologie und geriatrie,Q3,1.1,18
319,21057800,2010,zeitschrift fur gerontologie und geriatrie,Q3,1.1,3
320,20198376,2010,zeitschrift fur gerontologie und geriatrie,Q3,1.1,3
321,20361195,2010,zeitschrift fur gerontologie und geriatrie,Q3,1.1,4
322,20379726,2010,zeitschrift fur gerontologie und geriatrie,Q3,1.1,2
323,19789832,2010,zeitschrift fur gerontologie und geriatrie,Q3,1.1,8
324,20383627,2010,zeitschrift fur gerontologie und geriatrie,Q3,1.1,5
325,19802515,2010,zeitschrift fur gerontologie und geriatrie,Q3,1.1,0
326,20354860,2010,zeitschrift fur gerontologie und geriatrie,Q3,1.1,0
327,20383626,2010,zeitschrift fur gerontologie und geriatrie,Q3,1.1,1
328,20390287,2010,zeitschrift fur gerontologie und geriatrie,Q3,1.1,3
329,20656960,2010,phlebology,Q3,1.6,2
330,21107000,2010,phlebology,Q3,1.6,7
331,20483862,2010,phlebology,Q3,1.6,0
332,20870818,2010,phlebology,Q3,1.6,5
333,20656955,2010,phlebology,Q3,1.6,2
334,20118342,2010,phlebology,Q3,1.6,1
335,20348453,2010,phlebology,Q3,1.6,3
336,20870873,2010,phlebology,Q3,1.6,0
337,20348456,2010,phlebology,Q3,1.6,4
338,20483865,2010,phlebology,Q3,1.6,2
339,20483864,2010,phlebology,Q3,1.6,3
340,20870813,2010,phlebology,Q3,1.6,5
341,20870872,2010,phlebology,Q3,1.6,2
342,20870816,2010,phlebology,Q3,1.6,1
343,20870870,2010,phlebology,Q3,1.6,9
344,20348451,2010,phlebology,Q3,1.6,6
345,20483866,2010,phlebology,Q3,1.6,1
346,20118344,2010,phlebology,Q3,1.6,0
347,20870814,2010,phlebology,Q3,1.6,1
348,20483859,2010,phlebology,Q3,1.6,1
349,20870871,2010,phlebology,Q3,1.6,0
350,20605061,2010,journal of environmental radioactivity,Q3,1.9,4
351,20106569,2010,journal of environmental radioactivity,Q3,1.9,2
352,19896253,2010,journal of environmental radioactivity,Q3,1.9,1
353,20206421,2010,journal of environmental radioactivity,Q3,1.9,2
354,20227801,2010,journal of environmental radioactivity,Q3,1.9,0
355,20172634,2010,journal of environmental radioactivity,Q3,1.9,3
356,19910087,2010,journal of environmental radioactivity,Q3,1.9,0
357,20727627,2010,journal of environmental radioactivity,Q3,1.9,0
358,20537448,2010,journal of environmental radioactivity,Q3,1.9,1
359,19889484,2010,journal of environmental radioactivity,Q3,1.9,1
360,20638159,2010,journal of environmental radioactivity,Q3,1.9,0
361,20044184,2010,journal of environmental radioactivity,Q3,1.9,1
362,19926368,2010,journal of environmental radioactivity,Q3,1.9,0
363,20170992,2010,journal of environmental radioactivity,Q3,1.9,3
364,20471727,2010,journal of environmental radioactivity,Q3,1.9,0
365,20619514,2010,journal of environmental radioactivity,Q3,1.9,1
366,20167403,2010,journal of environmental radioactivity,Q3,1.9,11
367,20400212,2010,journal of environmental radioactivity,Q3,1.9,1
368,19969403,2010,journal of environmental radioactivity,Q3,1.9,5
369,20346553,2010,journal of environmental radioactivity,Q3,1.9,0
370,18662843,2010,journal of environmental radioactivity,Q3,1.9,2
371,20471729,2010,journal of environmental radioactivity,Q3,1.9,0
372,20687248,2010,journal of environmental radioactivity,Q3,1.9,2
373,20184497,2010,nordic journal of psychiatry,Q3,1.5,1
374,20429745,2010,nordic journal of psychiatry,Q3,1.5,6
375,20085434,2010,nordic journal of psychiatry,Q3,1.5,2
376,19883188,2010,nordic journal of psychiatry,Q3,1.5,8
377,20148750,2010,nordic journal of psychiatry,Q3,1.5,4
378,20100135,2010,nordic journal of psychiatry,Q3,1.5,16
379,20092377,2010,nordic journal of psychiatry,Q3,1.5,6
380,19919290,2010,nordic journal of psychiatry,Q3,1.5,6
381,19883192,2010,nordic journal of psychiatry,Q3,1.5,4
382,20331409,2010,nordic journal of psychiatry,Q3,1.5,1
383,20085432,2010,nordic journal of psychiatry,Q3,1.5,5
384,20199170,2010,nordic journal of psychiatry,Q3,1.5,2
385,20088751,2010,nordic journal of psychiatry,Q3,1.5,6
386,19958254,2010,nordic journal of psychiatry,Q3,1.5,3
387,20392134,2010,nordic journal of psychiatry,Q3,1.5,5
388,20380549,2010,nordic journal of psychiatry,Q3,1.5,1
389,20100134,2010,nordic journal of psychiatry,Q3,1.5,9
390,20380550,2010,nordic journal of psychiatry,Q3,1.5,0
391,20100133,2010,nordic journal of psychiatry,Q3,1.5,1
392,20629611,2010,nordic journal of psychiatry,Q3,1.5,10
393,20429743,2010,nordic journal of psychiatry,Q3,1.5,8
394,20392133,2010,nordic journal of psychiatry,Q3,1.5,4
395,19883199,2010,nordic journal of psychiatry,Q3,1.5,11
396,19883196,2010,nordic journal of psychiatry,Q3,1.5,23
397,20562618,2010,cancer nursing,Q3,2.4,9
398,20142737,2010,cancer nursing,Q3,2.4,71
399,19926972,2010,cancer nursing,Q3,2.4,14
400,20467309,2010,cancer nursing,Q3,2.4,11
401,19926977,2010,cancer nursing,Q3,2.4,19
402,20467301,2010,cancer nursing,Q3,2.4,34
403,20142734,2010,cancer nursing,Q3,2.4,15
404,20467305,2010,cancer nursing,Q3,2.4,13
405,20467304,2010,cancer nursing,Q3,2.4,0
406,20555257,2010,cancer nursing,Q3,2.4,15
407,20357653,2010,cancer nursing,Q3,2.4,1
408,20142740,2010,cancer nursing,Q3,2.4,14
409,19926976,2010,cancer nursing,Q3,2.4,11
410,20562616,2010,cancer nursing,Q3,2.4,1
411,20142736,2010,cancer nursing,Q3,2.4,130
412,20467306,2010,cancer nursing,Q3,2.4,11
413,20142741,2010,cancer nursing,Q3,2.4,21
414,20357657,2010,cancer nursing,Q3,2.4,8
415,19926975,2010,cancer nursing,Q3,2.4,20
416,20562621,2010,cancer nursing,Q3,2.4,12
417,20142746,2010,cancer nursing,Q3,2.4,8
418,20467303,2010,cancer nursing,Q3,2.4,25
419,20562615,2010,cancer nursing,Q3,2.4,5
420,20406887,2010,journal of cell science,Q3,3.3,52
421,20406886,2010,journal of cell science,Q3,3.3,53
422,20971704,2010,journal of cell science,Q3,3.3,12
423,20516152,2010,journal of cell science,Q3,3.3,13
424,20332110,2010,journal of cell science,Q3,3.3,51
425,20720152,2010,journal of cell science,Q3,3.3,20
426,20940130,2010,journal of cell science,Q3,3.3,39
427,20048338,2010,journal of cell science,Q3,3.3,79
428,20980392,2010,journal of cell science,Q3,3.3,16
429,20179103,2010,journal of cell science,Q3,3.3,15
430,20016067,2010,journal of cell science,Q3,3.3,59
431,20332108,2010,journal of cell science,Q3,3.3,50
432,21123618,2010,journal of cell science,Q3,3.3,245
433,20406888,2010,journal of cell science,Q3,3.3,36
434,20427321,2010,journal of cell science,Q3,3.3,53
435,20375063,2010,journal of cell science,Q3,3.3,7
436,20144994,2010,journal of cell science,Q3,3.3,30
437,20930140,2010,journal of cell science,Q3,3.3,124
438,20179101,2010,journal of cell science,Q3,3.3,32
439,20699358,2010,journal of cell science,Q3,3.3,17
440,20647373,2010,journal of cell science,Q3,3.3,36
441,20144989,2010,journal of cell science,Q3,3.3,62
442,20731382,2010,biochemistry,Q3,2.9,23
443,20102228,2010,biochemistry,Q3,2.9,71
444,20073507,2010,biochemistry,Q3,2.9,9
445,20196616,2010,biochemistry,Q3,2.9,9
446,20184375,2010,biochemistry,Q3,2.9,28
447,20726546,2010,biochemistry,Q3,2.9,12
448,20715795,2010,biochemistry,Q3,2.9,11
449,20441187,2010,biochemistry,Q3,2.9,18
450,20929244,2010,biochemistry,Q3,2.9,7
451,20795631,2010,biochemistry,Q3,2.9,22
452,20218727,2010,biochemistry,Q3,2.9,7
453,20214401,2010,biochemistry,Q3,2.9,11
454,20521843,2010,biochemistry,Q3,2.9,16
455,20932054,2010,biochemistry,Q3,2.9,6
456,20429609,2010,biochemistry,Q3,2.9,13
457,20518490,2010,biochemistry,Q3,2.9,9
458,20402481,2010,biochemistry,Q3,2.9,13
459,20047332,2010,biochemistry,Q3,2.9,24
460,20590134,2010,biochemistry,Q3,2.9,29
461,20843005,2010,biochemistry,Q3,2.9,5
462,20836565,2010,biochemistry,Q3,2.9,8
463,20524697,2010,biochemistry,Q3,2.9,8
464,20499882,2010,biochemistry,Q3,2.9,22
465,20507176,2010,biochemistry,Q3,2.9,54
466,20163190,2010,biochemistry,Q3,2.9,18
467,20369755,2010,anaesthesia and intensive care,Q3,1.1,1
468,20191775,2010,anaesthesia and intensive care,Q3,1.1,8
469,20514952,2010,anaesthesia and intensive care,Q3,1.1,39
470,21226437,2010,anaesthesia and intensive care,Q3,1.1,4
471,21226444,2010,anaesthesia and intensive care,Q3,1.1,6
472,21226445,2010,anaesthesia and intensive care,Q3,1.1,2
473,20865865,2010,anaesthesia and intensive care,Q3,1.1,7
474,20191781,2010,anaesthesia and intensive care,Q3,1.1,4
475,20715728,2010,anaesthesia and intensive care,Q3,1.1,14
476,20715743,2010,anaesthesia and intensive care,Q3,1.1,6
477,20369773,2010,anaesthesia and intensive care,Q3,1.1,4
478,20369775,2010,anaesthesia and intensive care,Q3,1.1,3
479,20191788,2010,anaesthesia and intensive care,Q3,1.1,3
480,20191794,2010,anaesthesia and intensive care,Q3,1.1,5
481,20369779,2010,anaesthesia and intensive care,Q3,1.1,7
482,20191799,2010,anaesthesia and intensive care,Q3,1.1,0
483,20715742,2010,anaesthesia and intensive care,Q3,1.1,7
484,20715739,2010,anaesthesia and intensive care,Q3,1.1,6
485,21062584,2010,sexual health,Q3,1.8,1
486,20152093,2010,sexual health,Q3,1.8,17
487,21062592,2010,sexual health,Q3,1.8,2
488,20465977,2010,sexual health,Q3,1.8,2
489,20719213,2010,sexual health,Q3,1.8,16
490,20465984,2010,sexual health,Q3,1.8,3
491,20152088,2010,sexual health,Q3,1.8,1
